company,sector
AAPL,Technology
GOOGL,Technology
MSFT,Technology
AMZN,Consumer Cyclical
TSLA,Consumer Cyclical
JPM,Financial Services
V,Financial Services
JNJ,Healthcare
UNH,Healthcare
PG,Consumer Defensive
KO,Consumer Defensive
