keyword,weight
<<<<<<< Updated upstream
2025,0.004797763398345758
advice,0.004279792632681156
market,0.004180243107582816
money,0.0035672871897465203
june,0.003231504778103083
like,0.0030543721350119167
world,0.002988553427408958
stocks,0.0025142755865619954
investing,0.0024962084643695664
trump,0.0024487533663805905
feel,0.002240553457012933
else,0.0021940236436707237
need,0.0020511832531850413
anyone,0.0020242055771431096
seem,0.0020242055771431096
=======
2025,0.000736106406696958
advice,0.0006566357101597121
market,0.0006413621259655029
money,0.0005473181432427029
june,0.0004958000578464714
like,0.00046862312922603774
world,0.0004585247628989785
stocks,0.00038575774038965185
investing,0.0003829857561769645
trump,0.00037570486323585756
feel,0.00034376137739991545
else,0.0003366224480989367
need,0.0003147068766458178
anyone,0.0003105677729586479
seem,0.0003105677729586479
>>>>>>> Stashed changes
